Date,"User loss (All users, All events, Per interval, Daily): All countries / regions","User loss (All users, All events, Per interval, Daily): South Africa","User loss (All users, All events, Per interval, Daily): United States","User loss (All users, All events, Per interval, Daily): United Kingdom","User loss (All users, All events, Per interval, Daily): Netherlands",Notes
"Jan 1, 2017",0,0,0,0,0,
"Jan 2, 2017",0,0,0,0,0,
"Jan 3, 2017",0,0,0,0,0,
"Jan 4, 2017",0,0,0,0,0,
"Jan 5, 2017",0,0,0,0,0,
"Jan 6, 2017",0,0,0,0,0,
"Jan 7, 2017",0,0,0,0,0,
"Jan 8, 2017",0,0,0,0,0,
"Jan 9, 2017",0,0,0,0,0,
"Jan 10, 2017",0,0,0,0,0,
"Jan 11, 2017",0,0,0,0,0,
"Jan 12, 2017",0,0,0,0,0,
"Jan 13, 2017",0,0,0,0,0,
"Jan 14, 2017",0,0,0,0,0,
"Jan 15, 2017",0,0,0,0,0,
"Jan 16, 2017",0,0,0,0,0,
"Jan 17, 2017",0,0,0,0,0,
"Jan 18, 2017",0,0,0,0,0,
"Jan 19, 2017",0,0,0,0,0,
"Jan 20, 2017",0,0,0,0,0,
"Jan 21, 2017",0,0,0,0,0,
"Jan 22, 2017",0,0,0,0,0,
"Jan 23, 2017",0,0,0,0,0,
"Jan 24, 2017",0,0,0,0,0,
"Jan 25, 2017",0,0,0,0,0,
"Jan 26, 2017",0,0,0,0,0,
"Jan 27, 2017",0,0,0,0,0,
"Jan 28, 2017",0,0,0,0,0,
"Jan 29, 2017",0,0,0,0,0,
"Jan 30, 2017",1,1,0,0,0,
"Jan 31, 2017",0,0,0,0,0,
"Feb 1, 2017",1,1,0,0,0,
"Feb 2, 2017",0,0,0,0,0,
"Feb 3, 2017",1,1,0,0,0,
"Feb 4, 2017",0,0,0,0,0,
"Feb 5, 2017",0,0,0,0,0,
"Feb 6, 2017",0,0,0,0,0,
"Feb 7, 2017",0,0,0,0,0,
"Feb 8, 2017",0,0,0,0,0,
"Feb 9, 2017",0,0,0,0,0,
"Feb 10, 2017",0,0,0,0,0,
"Feb 11, 2017",0,0,0,0,0,
"Feb 12, 2017",0,0,0,0,0,
"Feb 13, 2017",0,0,0,0,0,
"Feb 14, 2017",0,0,0,0,0,
"Feb 15, 2017",0,0,0,0,0,
"Feb 16, 2017",0,0,0,0,0,
"Feb 17, 2017",0,0,0,0,0,
"Feb 18, 2017",0,0,0,0,0,
"Feb 19, 2017",0,0,0,0,0,
"Feb 20, 2017",0,0,0,0,0,
"Feb 21, 2017",0,0,0,0,0,
"Feb 22, 2017",0,0,0,0,0,
"Feb 23, 2017",0,0,0,0,0,
"Feb 24, 2017",0,0,0,0,0,
"Feb 25, 2017",0,0,0,0,0,
"Feb 26, 2017",0,0,0,0,0,
"Feb 27, 2017",0,0,0,0,0,
"Feb 28, 2017",0,0,0,0,0,
"Mar 1, 2017",0,0,0,0,0,
"Mar 2, 2017",0,0,0,0,0,
"Mar 3, 2017",0,0,0,0,0,
"Mar 4, 2017",0,0,0,0,0,
"Mar 5, 2017",0,0,0,0,0,
"Mar 6, 2017",0,0,0,0,0,
"Mar 7, 2017",0,0,0,0,0,
"Mar 8, 2017",1,1,0,0,0,
"Mar 9, 2017",0,0,0,0,0,
"Mar 10, 2017",0,0,0,0,0,
"Mar 11, 2017",0,0,0,0,0,
"Mar 12, 2017",0,0,0,0,0,
"Mar 13, 2017",0,0,0,0,0,
"Mar 14, 2017",0,0,0,0,0,
"Mar 15, 2017",0,0,0,0,0,
"Mar 16, 2017",0,0,0,0,0,
"Mar 17, 2017",0,0,0,0,0,
"Mar 18, 2017",0,0,0,0,0,
"Mar 19, 2017",0,0,0,0,0,
"Mar 20, 2017",0,0,0,0,0,
"Mar 21, 2017",0,0,0,0,0,
"Mar 22, 2017",0,0,0,0,0,
"Mar 23, 2017",0,0,0,0,0,
"Mar 24, 2017",0,0,0,0,0,
"Mar 25, 2017",0,0,0,0,0,
"Mar 26, 2017",0,0,0,0,0,
"Mar 27, 2017",0,0,0,0,0,
"Mar 28, 2017",1,1,0,0,0,
"Mar 29, 2017",0,0,0,0,0,
"Mar 30, 2017",0,0,0,0,0,
"Mar 31, 2017",0,0,0,0,0,
"Apr 1, 2017",0,0,0,0,0,
"Apr 2, 2017",0,0,0,0,0,
"Apr 3, 2017",0,0,0,0,0,
"Apr 4, 2017",0,0,0,0,0,
"Apr 5, 2017",0,0,0,0,0,
"Apr 6, 2017",0,0,0,0,0,
"Apr 7, 2017",0,0,0,0,0,
"Apr 8, 2017",0,0,0,0,0,
"Apr 9, 2017",0,0,0,0,0,
"Apr 10, 2017",0,0,0,0,0,
"Apr 11, 2017",0,0,0,0,0,
"Apr 12, 2017",0,0,0,0,0,
"Apr 13, 2017",0,0,0,0,0,
"Apr 14, 2017",0,0,0,0,0,
"Apr 15, 2017",0,0,0,0,0,
"Apr 16, 2017",0,0,0,0,0,
"Apr 17, 2017",0,0,0,0,0,
"Apr 18, 2017",0,0,0,0,0,
"Apr 19, 2017",0,0,0,0,0,
"Apr 20, 2017",0,0,0,0,0,
"Apr 21, 2017",0,0,0,0,0,
"Apr 22, 2017",0,0,0,0,0,
"Apr 23, 2017",0,0,0,0,0,
"Apr 24, 2017",0,0,0,0,0,
"Apr 25, 2017",0,0,0,0,0,
"Apr 26, 2017",0,0,0,0,0,
"Apr 27, 2017",0,0,0,0,0,
"Apr 28, 2017",0,0,0,0,0,
"Apr 29, 2017",0,0,0,0,0,
"Apr 30, 2017",0,0,0,0,0,
"May 1, 2017",0,0,0,0,0,
"May 2, 2017",0,0,0,0,0,
"May 3, 2017",0,0,0,0,0,
"May 4, 2017",0,0,0,0,0,
"May 5, 2017",0,0,0,0,0,
"May 6, 2017",0,0,0,0,0,
"May 7, 2017",0,0,0,0,0,
"May 8, 2017",0,0,0,0,0,
"May 9, 2017",0,0,0,0,0,
"May 10, 2017",0,0,0,0,0,
"May 11, 2017",0,0,0,0,0,
"May 12, 2017",0,0,0,0,0,
"May 13, 2017",0,0,0,0,0,
"May 14, 2017",0,0,0,0,0,
"May 15, 2017",0,0,0,0,0,
"May 16, 2017",0,0,0,0,0,
"May 17, 2017",0,0,0,0,0,
"May 18, 2017",0,0,0,0,0,
"May 19, 2017",0,0,0,0,0,
"May 20, 2017",0,0,0,0,0,
"May 21, 2017",0,0,0,0,0,
"May 22, 2017",0,0,0,0,0,
"May 23, 2017",0,0,0,0,0,
"May 24, 2017",0,0,0,0,0,
"May 25, 2017",0,0,0,0,0,
"May 26, 2017",0,0,0,0,0,
"May 27, 2017",0,0,0,0,0,
"May 28, 2017",0,0,0,0,0,
"May 29, 2017",0,0,0,0,0,
"May 30, 2017",0,0,0,0,0,
"May 31, 2017",0,0,0,0,0,
"Jun 1, 2017",0,0,0,0,0,
"Jun 2, 2017",0,0,0,0,0,
"Jun 3, 2017",0,0,0,0,0,
"Jun 4, 2017",0,0,0,0,0,
"Jun 5, 2017",0,0,0,0,0,
"Jun 6, 2017",0,0,0,0,0,
"Jun 7, 2017",0,0,0,0,0,
"Jun 8, 2017",0,0,0,0,0,
"Jun 9, 2017",0,0,0,0,0,
"Jun 10, 2017",0,0,0,0,0,
"Jun 11, 2017",0,0,0,0,0,
"Jun 12, 2017",0,0,0,0,0,
"Jun 13, 2017",0,0,0,0,0,
"Jun 14, 2017",0,0,0,0,0,
"Jun 15, 2017",0,0,0,0,0,
"Jun 16, 2017",0,0,0,0,0,
"Jun 17, 2017",0,0,0,0,0,
"Jun 18, 2017",0,0,0,0,0,
"Jun 19, 2017",1,1,0,0,0,
"Jun 20, 2017",0,0,0,0,0,
"Jun 21, 2017",0,0,0,0,0,
"Jun 22, 2017",0,0,0,0,0,
"Jun 23, 2017",0,0,0,0,0,
"Jun 24, 2017",0,0,0,0,0,
"Jun 25, 2017",0,0,0,0,0,
"Jun 26, 2017",0,0,0,0,0,
"Jun 27, 2017",0,0,0,0,0,
"Jun 28, 2017",0,0,0,0,0,
"Jun 29, 2017",0,0,0,0,0,
"Jun 30, 2017",0,0,0,0,0,
"Jul 1, 2017",0,0,0,0,0,
"Jul 2, 2017",0,0,0,0,0,
"Jul 3, 2017",1,1,0,0,0,
"Jul 4, 2017",0,0,0,0,0,
"Jul 5, 2017",0,0,0,0,0,
"Jul 6, 2017",0,0,0,0,0,
"Jul 7, 2017",0,0,0,0,0,
"Jul 8, 2017",0,0,0,0,0,
"Jul 9, 2017",0,0,0,0,0,
"Jul 10, 2017",0,0,0,0,0,
"Jul 11, 2017",0,0,0,0,0,
"Jul 12, 2017",0,0,0,0,0,
"Jul 13, 2017",0,0,0,0,0,
"Jul 14, 2017",0,0,0,0,0,
"Jul 15, 2017",0,0,0,0,0,
"Jul 16, 2017",0,0,0,0,0,Rollout of release: Started rollout of 1.0.14 at 100%.
"Jul 17, 2017",1,1,0,0,0,
"Jul 18, 2017",1,1,0,0,0,
"Jul 19, 2017",0,0,0,0,0,
"Jul 20, 2017",1,1,0,0,0,
"Jul 21, 2017",0,0,0,0,0,
"Jul 22, 2017",2,2,0,0,0,
"Jul 23, 2017",0,0,0,0,0,
"Jul 24, 2017",0,0,0,0,0,
"Jul 25, 2017",3,3,0,0,0,
"Jul 26, 2017",1,1,0,0,0,
"Jul 27, 2017",1,1,0,0,0,
"Jul 28, 2017",1,1,0,0,0,
"Jul 29, 2017",1,1,0,0,0,
"Jul 30, 2017",0,0,0,0,0,
"Jul 31, 2017",0,0,0,0,0,
"Aug 1, 2017",2,2,0,0,0,
"Aug 2, 2017",2,2,0,0,0,
"Aug 3, 2017",2,2,0,0,0,
"Aug 4, 2017",0,0,0,0,0,
"Aug 5, 2017",2,2,0,0,0,
"Aug 6, 2017",3,2,0,0,0,
"Aug 7, 2017",0,0,0,0,0,
"Aug 8, 2017",0,0,0,0,0,
"Aug 9, 2017",2,2,0,0,0,
"Aug 10, 2017",2,2,0,0,0,
"Aug 11, 2017",1,1,0,0,0,
"Aug 12, 2017",2,2,0,0,0,
"Aug 13, 2017",3,3,0,0,0,
"Aug 14, 2017",2,2,0,0,0,
"Aug 15, 2017",1,1,0,0,0,
"Aug 16, 2017",2,2,0,0,0,
"Aug 17, 2017",2,2,0,0,0,
"Aug 18, 2017",3,3,0,0,0,
"Aug 19, 2017",0,0,0,0,0,
"Aug 20, 2017",4,4,0,0,0,
"Aug 21, 2017",5,5,0,0,0,
"Aug 22, 2017",1,1,0,0,0,
"Aug 23, 2017",2,2,0,0,0,
"Aug 24, 2017",5,5,0,0,0,
"Aug 25, 2017",0,0,0,0,0,
"Aug 26, 2017",3,3,0,0,0,
"Aug 27, 2017",1,1,0,0,0,
"Aug 28, 2017",1,1,0,0,0,
"Aug 29, 2017",3,3,0,0,0,
"Aug 30, 2017",1,1,0,0,0,
"Aug 31, 2017",2,2,0,0,0,
"Sep 1, 2017",2,2,0,0,0,
"Sep 2, 2017",6,6,0,0,0,
"Sep 3, 2017",2,2,0,0,0,
"Sep 4, 2017",0,0,0,0,0,
"Sep 5, 2017",3,3,0,0,0,
"Sep 6, 2017",2,2,0,0,0,
"Sep 7, 2017",2,2,0,0,0,
"Sep 8, 2017",3,3,0,0,0,
"Sep 9, 2017",3,3,0,0,0,
"Sep 10, 2017",3,3,0,0,0,
"Sep 11, 2017",3,3,0,0,0,
"Sep 12, 2017",2,2,0,0,0,
"Sep 13, 2017",1,1,0,0,0,
"Sep 14, 2017",6,6,0,0,0,
"Sep 15, 2017",1,1,0,0,0,
"Sep 16, 2017",0,0,0,0,0,
"Sep 17, 2017",1,1,0,0,0,
"Sep 18, 2017",3,3,0,0,0,
"Sep 19, 2017",4,4,0,0,0,
"Sep 20, 2017",4,4,0,0,0,
"Sep 21, 2017",5,5,0,0,0,
"Sep 22, 2017",5,4,0,0,0,
"Sep 23, 2017",5,5,0,0,0,
"Sep 24, 2017",0,0,0,0,0,
"Sep 25, 2017",5,5,0,0,0,
"Sep 26, 2017",0,0,0,0,0,
"Sep 27, 2017",3,3,0,0,0,
"Sep 28, 2017",3,3,0,0,0,
"Sep 29, 2017",4,4,0,0,0,
"Sep 30, 2017",1,1,0,0,0,
"Oct 1, 2017",5,5,0,0,0,
"Oct 2, 2017",3,3,0,0,0,
"Oct 3, 2017",6,6,0,0,0,
"Oct 4, 2017",4,4,0,0,0,
"Oct 5, 2017",8,8,0,0,0,
"Oct 6, 2017",3,3,0,0,0,
"Oct 7, 2017",5,5,0,0,0,
"Oct 8, 2017",4,4,0,0,0,
"Oct 9, 2017",31,31,0,0,0,
"Oct 10, 2017",42,42,0,0,0,
"Oct 11, 2017",29,29,0,0,0,
"Oct 12, 2017",31,31,0,0,0,
"Oct 13, 2017",30,30,0,0,0,
"Oct 14, 2017",27,27,0,0,0,
"Oct 15, 2017",23,23,0,0,0,
"Oct 16, 2017",22,22,0,0,0,
"Oct 17, 2017",23,23,0,0,0,
"Oct 18, 2017",18,18,0,0,0,
"Oct 19, 2017",19,19,0,0,0,
"Oct 20, 2017",17,17,0,0,0,
"Oct 21, 2017",15,15,0,0,0,
"Oct 22, 2017",15,15,0,0,0,
"Oct 23, 2017",23,23,0,0,0,
"Oct 24, 2017",24,24,0,0,0,
"Oct 25, 2017",14,14,0,0,0,
"Oct 26, 2017",16,16,0,0,0,
"Oct 27, 2017",18,18,0,0,0,
"Oct 28, 2017",16,16,0,0,0,
"Oct 29, 2017",12,12,0,0,0,
"Oct 30, 2017",22,21,0,0,0,
"Oct 31, 2017",19,19,0,0,0,
"Nov 1, 2017",23,23,0,0,0,
"Nov 2, 2017",16,16,0,0,0,
"Nov 3, 2017",17,17,0,0,0,
"Nov 4, 2017",16,16,0,0,0,
"Nov 5, 2017",15,14,0,0,0,
"Nov 6, 2017",32,32,0,0,0,
"Nov 7, 2017",19,19,0,0,0,
"Nov 8, 2017",20,20,0,0,0,
"Nov 9, 2017",20,20,0,0,0,
"Nov 10, 2017",15,15,0,0,0,
"Nov 11, 2017",19,19,0,0,0,
"Nov 12, 2017",11,11,0,0,0,
"Nov 13, 2017",14,14,0,0,0,
"Nov 14, 2017",19,19,0,0,0,
"Nov 15, 2017",20,20,0,0,0,
"Nov 16, 2017",17,17,0,0,0,
"Nov 17, 2017",16,16,0,0,0,
"Nov 18, 2017",21,21,0,0,0,
"Nov 19, 2017",14,14,0,0,0,
"Nov 20, 2017",18,18,0,0,0,Rollout of release: Started rollout of 1.0.19 at 50%.
"Nov 21, 2017",15,15,0,0,0,
"Nov 22, 2017",10,10,0,0,0,
"Nov 23, 2017",17,17,0,0,0,
"Nov 24, 2017",12,12,0,0,0,
"Nov 25, 2017",10,10,0,0,0,
"Nov 26, 2017",12,12,0,0,0,
"Nov 27, 2017",15,15,0,0,0,
"Nov 28, 2017",12,11,0,0,1,
"Nov 29, 2017",22,22,0,0,0,
"Nov 30, 2017",17,17,0,0,0,
"Dec 1, 2017",20,20,0,0,0,
"Dec 2, 2017",12,12,0,0,0,
"Dec 3, 2017",15,15,0,0,0,
"Dec 4, 2017",20,20,0,0,0,
"Dec 5, 2017",21,21,0,0,0,
"Dec 6, 2017",15,15,0,0,0,
"Dec 7, 2017",24,24,0,0,0,
"Dec 8, 2017",13,13,0,0,0,
"Dec 9, 2017",17,17,0,0,0,
"Dec 10, 2017",15,15,0,0,0,
"Dec 11, 2017",22,22,0,0,0,
"Dec 12, 2017",16,16,0,0,0,
"Dec 13, 2017",23,23,0,0,0,
"Dec 14, 2017",18,18,0,0,0,
"Dec 15, 2017",11,11,0,0,0,
"Dec 16, 2017",13,13,0,0,0,
"Dec 17, 2017",14,14,0,0,0,
"Dec 18, 2017",15,15,0,0,0,
"Dec 19, 2017",16,16,0,0,0,
"Dec 20, 2017",21,21,0,0,0,
"Dec 21, 2017",15,15,0,0,0,
"Dec 22, 2017",11,11,0,0,0,
"Dec 23, 2017",22,22,0,0,0,
"Dec 24, 2017",15,15,0,0,0,
"Dec 25, 2017",12,12,0,0,0,
"Dec 26, 2017",23,23,0,0,0,
"Dec 27, 2017",14,14,0,0,0,
"Dec 28, 2017",16,16,0,0,0,
"Dec 29, 2017",18,18,0,0,0,
"Dec 30, 2017",15,15,0,0,0,
"Dec 31, 2017",17,17,0,0,0,
"Jan 1, 2018",15,15,0,0,0,
"Jan 2, 2018",15,15,0,0,0,
"Jan 3, 2018",16,16,0,0,0,
"Jan 4, 2018",22,22,0,0,0,
"Jan 5, 2018",17,17,0,0,0,
"Jan 6, 2018",13,13,0,0,0,
"Jan 7, 2018",15,15,0,0,0,
"Jan 8, 2018",13,13,0,0,0,
"Jan 9, 2018",10,10,0,0,0,
"Jan 10, 2018",11,11,0,0,0,
"Jan 11, 2018",13,13,0,0,0,
"Jan 12, 2018",12,12,0,0,0,
"Jan 13, 2018",13,13,0,0,0,
"Jan 14, 2018",16,16,0,0,0,
"Jan 15, 2018",17,17,0,0,0,
"Jan 16, 2018",13,13,0,0,0,
"Jan 17, 2018",13,13,0,0,0,
"Jan 18, 2018",17,17,0,0,0,
"Jan 19, 2018",18,18,0,0,0,
"Jan 20, 2018",15,15,0,0,0,
"Jan 21, 2018",12,12,0,0,0,
"Jan 22, 2018",16,16,0,0,0,
"Jan 23, 2018",14,14,0,0,0,
"Jan 24, 2018",18,18,0,0,0,
"Jan 25, 2018",15,15,0,0,0,
"Jan 26, 2018",20,20,0,0,0,
"Jan 27, 2018",13,13,0,0,0,
"Jan 28, 2018",11,11,0,0,0,
"Jan 29, 2018",12,12,0,0,0,
"Jan 30, 2018",15,15,0,0,0,
"Jan 31, 2018",13,13,0,0,0,
"Feb 1, 2018",12,12,0,0,0,
"Feb 2, 2018",19,19,0,0,0,
"Feb 3, 2018",13,13,0,0,0,
"Feb 4, 2018",12,12,0,0,0,
"Feb 5, 2018",9,9,0,0,0,
"Feb 6, 2018",15,15,0,0,0,
"Feb 7, 2018",13,13,0,0,0,
"Feb 8, 2018",12,12,0,0,0,
"Feb 9, 2018",11,11,0,0,0,
"Feb 10, 2018",13,13,0,0,0,
"Feb 11, 2018",5,5,0,0,0,
"Feb 12, 2018",12,12,0,0,0,
"Feb 13, 2018",13,13,0,0,0,
"Feb 14, 2018",11,11,0,0,0,
"Feb 15, 2018",18,18,0,0,0,
"Feb 16, 2018",15,15,0,0,0,
"Feb 17, 2018",10,10,0,0,0,
"Feb 18, 2018",18,18,0,0,0,
"Feb 19, 2018",17,17,0,0,0,
"Feb 20, 2018",7,7,0,0,0,
"Feb 21, 2018",12,12,0,0,0,
"Feb 22, 2018",20,20,0,0,0,Rollout of release: Started rollout of 1.0.25 at 50%. Rollout of release: Halted rollout of 1.0.19. Rollout of release: Increased rollout of 1.0.25 to 100%.
"Feb 23, 2018",8,8,0,0,0,
"Feb 24, 2018",10,10,0,0,0,
"Feb 25, 2018",8,8,0,0,0,
"Feb 26, 2018",12,12,0,0,0,
"Feb 27, 2018",15,15,0,0,0,
"Feb 28, 2018",15,15,0,0,0,
"Mar 1, 2018",8,8,0,0,0,
"Mar 2, 2018",13,13,0,0,0,
"Mar 3, 2018",11,11,0,0,0,
"Mar 4, 2018",11,11,0,0,0,
"Mar 5, 2018",11,11,0,0,0,
"Mar 6, 2018",14,14,0,0,0,
"Mar 7, 2018",10,10,0,0,0,
"Mar 8, 2018",15,15,0,0,0,
"Mar 9, 2018",8,8,0,0,0,
"Mar 10, 2018",7,7,0,0,0,
"Mar 11, 2018",9,9,0,0,0,
"Mar 12, 2018",9,9,0,0,0,
"Mar 13, 2018",15,15,0,0,0,
"Mar 14, 2018",9,9,0,0,0,
"Mar 15, 2018",19,19,0,0,0,
"Mar 16, 2018",11,11,0,0,0,
"Mar 17, 2018",18,18,0,0,0,
"Mar 18, 2018",10,10,0,0,0,
"Mar 19, 2018",15,15,0,0,0,
"Mar 20, 2018",15,15,0,0,0,
"Mar 21, 2018",11,11,0,0,0,
"Mar 22, 2018",17,17,0,0,0,
"Mar 23, 2018",8,8,0,0,0,
"Mar 24, 2018",10,10,0,0,0,
"Mar 25, 2018",13,13,0,0,0,
"Mar 26, 2018",15,15,0,0,0,
"Mar 27, 2018",14,14,0,0,0,
"Mar 28, 2018",13,13,0,0,0,
"Mar 29, 2018",18,18,0,0,0,
"Mar 30, 2018",5,5,0,0,0,
"Mar 31, 2018",8,8,0,0,0,
"Apr 1, 2018",17,17,0,0,0,
"Apr 2, 2018",8,8,0,0,0,
"Apr 3, 2018",11,11,0,0,0,
"Apr 4, 2018",13,13,0,0,0,
"Apr 5, 2018",15,15,0,0,0,
"Apr 6, 2018",15,15,0,0,0,
"Apr 7, 2018",9,9,0,0,0,
"Apr 8, 2018",11,11,0,0,0,
"Apr 9, 2018",7,7,0,0,0,
"Apr 10, 2018",9,9,0,0,0,
"Apr 11, 2018",10,10,0,0,0,
"Apr 12, 2018",7,7,0,0,0,
"Apr 13, 2018",12,12,0,0,0,
"Apr 14, 2018",6,6,0,0,0,
"Apr 15, 2018",12,12,0,0,0,
"Apr 16, 2018",14,14,0,0,0,
"Apr 17, 2018",15,15,0,0,0,
"Apr 18, 2018",11,11,0,0,0,
"Apr 19, 2018",10,10,0,0,0,
"Apr 20, 2018",8,8,0,0,0,
"Apr 21, 2018",11,11,0,0,0,
"Apr 22, 2018",18,18,0,0,0,
"Apr 23, 2018",8,8,0,0,0,
"Apr 24, 2018",9,9,0,0,0,
"Apr 25, 2018",13,13,0,0,0,
"Apr 26, 2018",13,13,0,0,0,
"Apr 27, 2018",20,20,0,0,0,
"Apr 28, 2018",12,12,0,0,0,
"Apr 29, 2018",17,17,0,0,0,
"Apr 30, 2018",19,19,0,0,0,
"May 1, 2018",15,15,0,0,0,
"May 2, 2018",15,15,0,0,0,
"May 3, 2018",14,14,0,0,0,
"May 4, 2018",18,18,0,0,0,
"May 5, 2018",22,22,0,0,0,
"May 6, 2018",13,13,0,0,0,
"May 7, 2018",20,20,0,0,0,
"May 8, 2018",7,7,0,0,0,
"May 9, 2018",13,13,0,0,0,
"May 10, 2018",13,13,0,0,0,
"May 11, 2018",11,11,0,0,0,
"May 12, 2018",7,7,0,0,0,
"May 13, 2018",12,12,0,0,0,
"May 14, 2018",17,17,0,0,0,
"May 15, 2018",19,19,0,0,0,
"May 16, 2018",21,21,0,0,0,
"May 17, 2018",17,17,0,0,0,
"May 18, 2018",13,13,0,0,0,
"May 19, 2018",12,12,0,0,0,
"May 20, 2018",11,11,0,0,0,
"May 21, 2018",8,8,0,0,0,
"May 22, 2018",12,12,0,0,0,
"May 23, 2018",13,13,0,0,0,
"May 24, 2018",14,14,0,0,0,
"May 25, 2018",15,15,0,0,0,
"May 26, 2018",21,21,0,0,0,
"May 27, 2018",12,12,0,0,0,
"May 28, 2018",12,12,0,0,0,
"May 29, 2018",16,16,0,0,0,
"May 30, 2018",10,10,0,0,0,
"May 31, 2018",16,16,0,0,0,
"Jun 1, 2018",21,21,0,0,0,
"Jun 2, 2018",18,18,0,0,0,
"Jun 3, 2018",11,11,0,0,0,
"Jun 4, 2018",15,15,0,0,0,
"Jun 5, 2018",13,13,0,0,0,
"Jun 6, 2018",12,12,0,0,0,
"Jun 7, 2018",8,8,0,0,0,
"Jun 8, 2018",12,12,0,0,0,
"Jun 9, 2018",11,11,0,0,0,
"Jun 10, 2018",14,14,0,0,0,
"Jun 11, 2018",10,10,0,0,0,
"Jun 12, 2018",15,15,0,0,0,
"Jun 13, 2018",13,13,0,0,0,
"Jun 14, 2018",16,16,0,0,0,
"Jun 15, 2018",15,15,0,0,0,
"Jun 16, 2018",15,15,0,0,0,
"Jun 17, 2018",13,12,0,0,0,
"Jun 18, 2018",13,13,0,0,0,
"Jun 19, 2018",12,12,0,0,0,
"Jun 20, 2018",9,9,0,0,0,
"Jun 21, 2018",16,16,0,0,0,
"Jun 22, 2018",15,15,0,0,0,
"Jun 23, 2018",11,11,0,0,0,
"Jun 24, 2018",10,9,0,0,0,
"Jun 25, 2018",13,13,0,0,0,
"Jun 26, 2018",15,15,0,0,0,
"Jun 27, 2018",17,17,0,0,0,
"Jun 28, 2018",8,8,0,0,0,
"Jun 29, 2018",10,10,0,0,0,
"Jun 30, 2018",10,10,0,0,0,
"Jul 1, 2018",6,6,0,0,0,
"Jul 2, 2018",14,14,0,0,0,
"Jul 3, 2018",16,16,0,0,0,
"Jul 4, 2018",7,7,0,0,0,
"Jul 5, 2018",11,11,0,0,0,
"Jul 6, 2018",16,16,0,0,0,
"Jul 7, 2018",15,15,0,0,0,
"Jul 8, 2018",19,19,0,0,0,
"Jul 9, 2018",11,11,0,0,0,
"Jul 10, 2018",16,16,0,0,0,
"Jul 11, 2018",13,13,0,0,0,
"Jul 12, 2018",17,17,0,0,0,
"Jul 13, 2018",16,16,0,0,0,
